address,area,rooms,criteria,price,Neighbourhood,longitude,latitude
"Wintersteinstraße 7, Charlottenburg (Charlottenburg), Berlin",69.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",268700.0,Charlottenburg,13.30612,52.51841
"Wintersteinstraße 9, Charlottenburg (Charlottenburg), Berlin",113.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",412500.0,Charlottenburg,13.3061,52.51859
"Düsseldorfer Str. 68a, Wilmersdorf (Wilmersdorf), Berlin",63.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse']",275000.0,Wilmersdorf,13.32138,52.49564
"Binzstraße 20, Pankow (Pankow), Berlin",66.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",376600.0,Pankow,13.42056,52.5635
"Gubener Straße 37, Friedrichshain (Friedrichshain), Berlin",60.0,2.0,['Keller'],365400.0,Friedrichshain,13.45009,52.5101
"Streustraße 55, Weißensee (Weißensee), Berlin",60.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse']",319000.0,Weißensee,13.43618,52.55212
"Streustraße 55, Weißensee (Weißensee), Berlin",37.0,1.0,"['Provisionsfrei*', 'Balkon/Terrasse']",259000.0,Weißensee,13.43618,52.55212
"Kreuzstraße 11, Pankow (Pankow), Berlin",68.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",389000.0,Pankow,13.39746,52.56784
"Wilmersdorf (Wilmersdorf), Berlin",78.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+4']",699000.0,Wilmersdorf,13.3311,52.48665
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin",99.0,3.5,,845495.0,Kreuzberg,13.44235,52.50215
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin",46.0,2.0,,302575.0,Kreuzberg,13.44235,52.50215
"Hochmeisterplatz 1, Wilmersdorf (Wilmersdorf), Berlin",123.0,3.0,"['Balkon/Terrasse', 'Keller', '+2']",998000.0,Wilmersdorf,13.30137,52.49561
"Mitte (Mitte), Berlin",89.0,3.0,,670000.0,Mitte,13.38717,52.51796
"Steglitz (Steglitz), Berlin",101.0,4.0,"['Balkon/Terrasse', 'Einbauküche']",508000.0,Steglitz,13.36061,52.44677
"Pankow (Pankow), Berlin",75.0,2.0,['Aufzug'],375000.0,Pankow,13.40248,52.56926
"Talstr. 4, Pankow (Pankow), Berlin",63.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",339500.0,Pankow,13.427175,52.5544559
"Tiergarten (Tiergarten), Berlin",75.0,3.0,['Aufzug'],489000.0,Tiergarten,13.37171,52.5196
"Schönhauser Str. 18a__, Steglitz (Steglitz), Berlin",75.0,3.0,"['Provisionsfrei*', 'Einbauküche', '+1']",392530.0,Steglitz,13.33559,52.4608
"Wrangelstr. 10_f, Steglitz (Steglitz), Berlin",136.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",651455.0,Steglitz,13.31665,52.45588
"Habsburger Str. 8*, Schöneberg (Schöneberg), Berlin",170.0,5.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",703240.0,Schöneberg,13.35252,52.49515
"Friedenau (Schöneberg), Berlin",140.0,4.0,['Aufzug'],389000.0,Schöneberg,13.33741,52.46713
"Friedrichshain (Friedrichshain), Berlin",55.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+3']",299000.0,Friedrichshain,13.43073,52.52883
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin",59.0,3.0,['Balkon/Terrasse'],221925.0,Pankow,13.41894,52.56375
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",32.0,2.0,,185600.0,Kreuzberg,13.41928,52.49527
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",34.0,2.0,,197200.0,Kreuzberg,13.41928,52.49527
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",48.0,2.0,,192000.0,Kreuzberg,13.41928,52.49527
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",48.0,2.0,,225600.0,Kreuzberg,13.41928,52.49527
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",52.0,2.0,,189000.0,Kreuzberg,13.41928,52.49527
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",60.0,2.0,"['Balkon/Terrasse', 'Aufzug']",438000.0,Kreuzberg,13.41928,52.49527
"Voltairestraße 11, Mitte (Mitte), Berlin",67.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",569500.0,Mitte,13.41498,52.51771
"Talstr. 4, Pankow (Pankow), Berlin",70.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",459500.0,Pankow,13.427175,52.5544559
"Voltairestraße 200, Mitte (Mitte), Berlin",93.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",699500.0,Mitte,13.4161,52.51739
"Nürnberger Straße 27y, Charlottenburg (Charlottenburg), Berlin",112.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse']",703240.0,Charlottenburg,13.33618,52.50047
"Exerzierstraße 34, Wedding (Wedding), Berlin",94.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+4']",479900.0,Wedding,13.37189,52.55437
"Binzstraße 20, Pankow (Pankow), Berlin",67.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",278400.0,Pankow,13.42056,52.5635
"Thorwaldsenstr. 22a, Steglitz (Steglitz), Berlin",60.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",243200.0,Steglitz,13.34196,52.46322
"Hasenheide 67, Neukölln (Neukölln), Berlin",67.0,2.0,"['Provisionsfrei*', 'Keller']",281600.0,Neukölln,13.40983,52.4885
"Stephanstr. 31, Steglitz (Steglitz), Berlin",97.0,3.0,"['Balkon/Terrasse', 'Keller']",524448.0,Steglitz,13.34392,52.44704
"Alt-Moabit 73#, Tiergarten (Tiergarten), Berlin",91.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse']",465030.0,Tiergarten,-9.95357,54.10557
"Lausitzer Straße 34, Kreuzberg (Kreuzberg), Berlin",70.0,2.0,,539000.0,Kreuzberg,13.42741,52.49571
"Lausitzer Straße 34, Kreuzberg (Kreuzberg), Berlin",29.0,1.0,,235000.0,Kreuzberg,13.42741,52.49571
"Köpenick (Köpenick), Berlin",72.0,2.0,['Einbauküche'],146000.0,Köpenick,13.57474,52.44602
"Wintersteinstraße 21, Charlottenburg (Charlottenburg), Berlin",67.0,2.0,"['Keller', 'Aufzug']",245000.0,Charlottenburg,13.30606,52.51952
