address,size,rooms,criteria,price,longitude,latitude,distance,district,neighborhood,id,host_identity_verified,instant_bookable,bed_type,private,luggage_dropoff,stairless,balcony,elevator,moderate,strict,loc,Restaurant,Bar,Café,Coffee Shop,Bakery,Hotel,Ice Cream Shop,Supermarket,Pizza Place,Pub,yearly_incomes_predicted
"Boxhagener Strasse 102, Friedrichshain (Friedrichshain), Berlin",68.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",313600.0,13.46016,52.51256,3.942331792953782,Friedrichshain-Kreuzberg,Friedrichshain,49,1,1,1,1,1,0,1,0,0,1,Friedrichshain (nh),33,8,13,5,0,0,2,0,7,1,36663.475
"Torstraße 227, Mitte (Mitte), Berlin",43.0,1.0,"['Provisionsfrei*', 'Keller', '+1']",419000.0,13.387979999999999,52.527480000000004,2.956954869816876,Mitte,Mitte,50,1,1,1,1,1,0,0,0,0,1,Mitte (nh),31,4,2,3,1,3,0,0,0,4,28835.096
"Torstraße 225A, Mitte (Mitte), Berlin",61.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",567000.0,13.388160000000001,52.527519999999996,2.9566016203586982,Mitte,Mitte,51,1,1,1,1,1,0,1,0,0,1,Mitte (nh),31,4,2,3,1,3,0,0,0,4,31134.8
"Osloer Str. 110, Wedding (Wedding), Berlin",67.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",355300.0,13.38478,52.5555,6.007154595942619,Mitte,Wedding,52,1,1,1,1,1,0,1,0,0,1,Wedding (nh),14,3,1,0,1,2,0,0,1,0,31970.213
"Wintersteinstraße 7, Charlottenburg (Charlottenburg), Berlin",69.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",268700.0,13.306120000000002,52.518409999999996,6.859360354309802,Charlottenburg-Wilm.,Charlottenburg,53,1,1,1,1,1,0,1,0,0,1,Charlottenburg (nh),4,0,1,0,2,0,1,2,0,1,31686.122
"Wintersteinstraße 9, Charlottenburg (Charlottenburg), Berlin",113.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",412500.0,13.3061,52.51859,6.8657541848929355,Charlottenburg-Wilm.,Charlottenburg,54,1,1,1,1,1,0,1,0,0,1,Charlottenburg (nh),4,0,1,0,2,0,1,2,0,0,41697.871
"Düsseldorfer Str. 68a, Wilmersdorf (Wilmersdorf), Berlin",63.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse']",275000.0,13.32138,52.49564,5.660218544581882,Charlottenburg-Wilm.,Wilmersdorf,55,1,1,1,1,1,0,1,0,0,1,Wilmersdorf (nh),24,4,2,1,1,2,0,1,0,0,24574.855
"Binzstraße 20, Pankow (Pankow), Berlin",66.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",376600.0,13.42056,52.5635,6.842176747649729,Pankow,Pankow,56,1,1,1,1,1,0,1,0,0,1,other,2,0,0,0,2,0,0,3,0,0,31364.377
"Gubener Straße 37, Friedrichshain (Friedrichshain), Berlin",60.0,2.0,['Keller'],365400.0,13.45009,52.5101,3.212744673712694,Friedrichshain-Kreuzberg,Friedrichshain,57,1,1,1,1,1,0,0,0,0,1,Friedrichshain (nh),18,7,5,5,1,0,2,1,1,1,30420.498
"Streustraße 55, Weißensee (Weißensee), Berlin",60.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse']",319000.0,13.436179999999998,52.552119999999995,5.898250121025972,Pankow,Weißensee,58,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,4,0,0,22696.089
