id,categories
12,Pizza Place
12,Pizza Place
12,Hotel
12,Dessert Shop
12,Restaurant
12,Italian Restaurant
12,Vietnamese Restaurant
12,Hotel Bar
12,Italian Restaurant
12,Bar
12,Vegetarian / Vegan Restaurant
12,Organic Grocery
12,Hotel
12,Vietnamese Restaurant
12,Supermarket
12,Drugstore
12,Restaurant
12,Breakfast Spot
12,Stadium
12,Supermarket
12,Bakery
12,Ice Cream Shop
12,Hotel Bar
12,Supermarket
12,Asian Restaurant
12,German Restaurant
12,Eastern European Restaurant
12,Furniture / Home Store
12,Bakery
12,Hostel
12,Recreation Center
12,Food
12,Tram Station
12,Light Rail Station
12,Seafood Restaurant
12,Grocery Store
12,Gym / Fitness Center
12,Italian Restaurant
12,Park
13,Pool
13,Hotel
13,Pizza Place
13,Pizza Place
13,Hotel
13,Dessert Shop
13,Restaurant
13,Italian Restaurant
13,Vietnamese Restaurant
13,Hotel Bar
13,Italian Restaurant
13,Bar
13,Vegetarian / Vegan Restaurant
13,Organic Grocery
13,Hotel
13,Vietnamese Restaurant
13,Supermarket
13,Drugstore
13,Restaurant
13,Breakfast Spot
13,Stadium
13,Supermarket
13,Bakery
13,Ice Cream Shop
13,Hotel Bar
13,Supermarket
13,Asian Restaurant
13,German Restaurant
13,Eastern European Restaurant
13,Furniture / Home Store
13,Bakery
13,Hostel
13,Recreation Center
13,Food
13,Tram Station
13,Light Rail Station
13,Seafood Restaurant
13,Grocery Store
13,Gym / Fitness Center
13,Italian Restaurant
13,Park
14,Pool
14,Hotel
14,Pizza Place
14,Pizza Place
14,Hotel
14,Dessert Shop
14,Restaurant
14,Italian Restaurant
14,Vietnamese Restaurant
14,Hotel Bar
14,Italian Restaurant
14,Bar
14,Vegetarian / Vegan Restaurant
14,Organic Grocery
14,Hotel
14,Vietnamese Restaurant
14,Supermarket
14,Drugstore
14,Restaurant
14,Breakfast Spot
14,Stadium
14,Supermarket
14,Bakery
14,Ice Cream Shop
14,Hotel Bar
14,Supermarket
14,Asian Restaurant
14,German Restaurant
14,Eastern European Restaurant
14,Furniture / Home Store
14,Bakery
14,Hostel
14,Recreation Center
14,Food
14,Tram Station
14,Light Rail Station
14,Seafood Restaurant
14,Grocery Store
14,Gym / Fitness Center
14,Italian Restaurant
14,Park
15,Pool
15,Hotel
15,Pizza Place
15,Pizza Place
15,Hotel
15,Dessert Shop
15,Restaurant
15,Italian Restaurant
15,Vietnamese Restaurant
15,Hotel Bar
15,Italian Restaurant
15,Bar
15,Vegetarian / Vegan Restaurant
15,Organic Grocery
15,Hotel
15,Vietnamese Restaurant
15,Supermarket
15,Drugstore
15,Restaurant
15,Breakfast Spot
15,Stadium
15,Supermarket
15,Bakery
15,Ice Cream Shop
15,Hotel Bar
15,Supermarket
15,Asian Restaurant
15,German Restaurant
15,Eastern European Restaurant
15,Furniture / Home Store
15,Bakery
15,Hostel
15,Recreation Center
15,Food
15,Tram Station
15,Light Rail Station
15,Seafood Restaurant
15,Grocery Store
15,Gym / Fitness Center
15,Italian Restaurant
15,Park
16,Sculpture Garden
16,Art Museum
16,Memorial Site
16,Concert Hall
16,Concert Hall
16,Plaza
16,Indie Movie Theater
16,Hotel
16,Scandinavian Restaurant
16,Breakfast Spot
16,Art Museum
16,Hotel Bar
16,Art Museum
16,Art Museum
16,Concert Hall
16,Hostel
16,Playground
16,IT Services
17,Pastry Shop
17,Pizza Place
17,Restaurant
17,Wine Bar
17,Vegetarian / Vegan Restaurant
17,Ice Cream Shop
17,Austrian Restaurant
17,Deli / Bodega
17,Indie Movie Theater
17,Pizza Place
17,Pub
17,Dance Studio
17,Coffee Shop
17,Café
17,Bar
17,Ramen Restaurant
17,Breakfast Spot
17,Bakery
17,Café
17,Beer Garden
17,Italian Restaurant
17,Bistro
17,Turkish Restaurant
17,Pizza Place
17,Russian Restaurant
17,Restaurant
17,Italian Restaurant
17,Ice Cream Shop
17,Chinese Restaurant
17,Zoo Exhibit
17,Coffee Shop
17,Tea Room
17,Hookah Bar
17,Dog Run
17,Bar
17,Indian Restaurant
18,Wine Bar
18,Vietnamese Restaurant
18,Asian Restaurant
18,Ice Cream Shop
18,Café
18,Hookah Bar
18,Ice Cream Shop
18,Café
18,Korean Restaurant
18,Tapas Restaurant
18,Supermarket
18,Breakfast Spot
18,Café
18,Korean Restaurant
18,Café
18,Falafel Restaurant
18,Coffee Shop
18,Liquor Store
18,Pizza Place
18,Italian Restaurant
18,Organic Grocery
18,Italian Restaurant
18,Café
18,Drugstore
18,Tree
18,Electronics Store
18,Sandwich Place
18,Supermarket
18,Sushi Restaurant
18,Café
18,Trattoria/Osteria
18,Chinese Restaurant
18,Organic Grocery
18,Café
18,Vietnamese Restaurant
18,Bank
18,German Restaurant
18,Drugstore
18,Gym / Fitness Center
18,Gym / Fitness Center
18,Plaza
18,Burger Joint
18,Souvlaki Shop
18,Supermarket
18,Supermarket
18,Hotel
18,Light Rail Station
18,Greek Restaurant
19,Peruvian Restaurant
19,Chinese Restaurant
19,Jazz Club
19,Bakery
19,Park
19,Vietnamese Restaurant
19,Greek Restaurant
19,Bakery
19,Supermarket
19,Coffee Shop
19,Organic Grocery
19,Argentinian Restaurant
19,Miscellaneous Shop
19,Chinese Restaurant
19,Gym / Fitness Center
19,Grocery Store
19,Hotel
19,Burger Joint
19,Supermarket
19,Supermarket
19,Hotel
19,Japanese Restaurant
19,Italian Restaurant
19,Grocery Store
19,Bakery
19,Bakery
19,Shipping Store
19,Hotel
19,Restaurant
19,Park
19,Snack Place
19,Asian Restaurant
19,Electronics Store
20,Nightclub
20,Bed & Breakfast
20,Frozen Yogurt Shop
20,Eastern European Restaurant
20,Gym / Fitness Center
20,Nightclub
20,Indie Movie Theater
20,Optical Shop
20,Hostel
20,Bike Shop
20,History Museum
20,Grocery Store
20,Kebab Restaurant
20,Outdoor Supply Store
20,General Entertainment
20,Christmas Market
20,German Restaurant
20,Eastern European Restaurant
20,Historic Site
20,Hotel
20,Racecourse
20,Bookstore
