id,categories
29279,Italian Restaurant
29279,Mexican Restaurant
29279,Plaza
29279,Dim Sum Restaurant
29279,Thai Restaurant
29279,Food & Drink Shop
29279,Chinese Restaurant
29279,Outdoor Supply Store
29279,Pet Store
29279,Bookstore
29279,Bakery
29279,Greek Restaurant
29279,Café
29279,Café
29279,Burger Joint
29279,Beer Bar
29279,Café
29279,Beer Store
29279,Café
29279,Toy / Game Store
29279,Café
29279,Asian Restaurant
29279,Organic Grocery
29279,Café
29279,Playground
29279,Japanese Restaurant
29279,Vietnamese Restaurant
29279,Spanish Restaurant
29279,Cocktail Bar
29279,Candy Store
29279,Café
29279,Ice Cream Shop
29279,Bakery
29279,Trattoria/Osteria
29279,Vietnamese Restaurant
29279,Bar
29279,Café
29279,Mediterranean Restaurant
29279,Cosmetics Shop
29279,Trattoria/Osteria
29279,Café
29279,Falafel Restaurant
29279,Music Venue
29279,Toy / Game Store
29279,Nightclub
29279,Pizza Place
29279,Café
29279,Asian Restaurant
29279,Cocktail Bar
29279,Vietnamese Restaurant
29279,Taverna
29279,Coffee Shop
29279,Bakery
29279,Doner Restaurant
29279,Optical Shop
30295,Bakery
30295,German Restaurant
30295,Hawaiian Restaurant
30295,Coffee Shop
30295,Gastropub
30295,Indian Restaurant
30295,Café
30295,Deli / Bodega
30295,Ice Cream Shop
30295,Falafel Restaurant
30295,Dim Sum Restaurant
30295,Playground
30295,Bar
30295,Vegetarian / Vegan Restaurant
30295,Italian Restaurant
30295,Café
30295,Boutique
30295,Café
30295,Candy Store
30295,Winery
30295,Bakery
30295,Coffee Shop
30295,Cocktail Bar
30295,Gourmet Shop
30295,Chinese Restaurant
30295,Yoga Studio
30295,Beer Bar
30295,Japanese Restaurant
30295,Bar
30295,Music Venue
30295,Burger Joint
30295,Café
30295,Creperie
30295,Juice Bar
30295,Bar
30295,Plaza
30295,Falafel Restaurant
30295,Vietnamese Restaurant
30295,Thai Restaurant
30295,Italian Restaurant
30295,Bookstore
30295,Italian Restaurant
30295,Café
30295,Falafel Restaurant
30295,Café
30295,Candy Store
30295,Pet Store
30295,Coffee Shop
30295,Sports Bar
30295,Trattoria/Osteria
30295,Café
30295,Café
30295,Japanese Restaurant
30295,Middle Eastern Restaurant
30295,Cosmetics Shop
30295,Café
30295,Bar
30295,Trattoria/Osteria
30295,Café
30295,Playground
30295,Jazz Club
30295,Art Gallery
30295,Playground
30295,Salon / Barbershop
30295,Park
30295,Organic Grocery
30295,Asian Restaurant
