address,area,rooms,criteria,price
"Parkstraße 13, Spandau (Spandau), Berlin","48,00 - 112,00 m²",2021,,292.000 - 717.000 €
"Petersburger Platz 8, Friedrichshain (Friedrichshain), Berlin","212,1 m²",5 Zi.5,['Aufzug'],1.700.000 €
"Karlsruher Straße 18, Wilmersdorf (Wilmersdorf), Berlin","91,57 - 246,24 m²",3. Quartal 2019,,839.000 - 3.469.000 €
"Kremmener Straße 9, Mitte (Mitte), Berlin","114,00 - 188,00 m²",sofort,,910.900 - 2.450.000 €
"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin","97,00 - 193,00 m²",nach Vereinbarung,,950.000 - 1.599.000 €
"Cicerostraße 8, Wilmersdorf (Wilmersdorf), Berlin","92,00 - 246,00 m²",nach Vereinbarung,,827.000 - 3.469.000 €
"Taubertstraße 15, Grunewald (Wilmersdorf), Berlin","163,72 - 163,72 m²",Juli 2020,,1.555.340 - 1.555.340 €
"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin","73,00 - 162,00 m²",nach Vereinbarung,,399.000 - 987.120 €
"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin","28,63 - 125,85 m²",nach Vereinbarung,,249.000 - 2.221.000 €
"Moissistraße 7, Adlershof (Treptow), Berlin","48,00 - 125,00 m²",nach Vereinbarung,,265.000 - 629.000 €
"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin","31,00 - 80,00 m²",Nach Vereinbarung,,186.000 - 469.000 €
"Dennewitzstraße 40, Tiergarten (Tiergarten), Berlin","75,00 - 164,00 m²",Q2 2021,,578.000 - 1.399.000 €
"Wilhelm-Caspar-Wegely-Platz 1, Charlottenburg (Charlottenburg), Berlin","71,00 - 151,00 m²",nach Vereinbarung,,751.400 - 2.043.510 €
"Heubnerweg 9a, Charlottenburg (Charlottenburg), Berlin","38,00 - 176,00 m²",nach Vereinbarung,,296.502 - 1.310.698 €
"Regattastraße 11, Grünau (Köpenick), Berlin","79,00 - 112,00 m²",Auf Anfrage,,426.000 - 426.000 €
