address,area,rooms,criteria,price
"Buckow (Neukölln), Berlin","53,3 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",174.500 €
"Suderoder Str. 2, Blankenburg (Weißensee), Berlin","35,44 m²",1 Zi.1,"['Balkon/Terrasse', 'Keller', 'Stufenlos']",104.750 €
"Fritschestrasse 43, Charlottenburg (Charlottenburg), Berlin","58,25 m²",2 Zi.2,"['Balkon/Terrasse', 'Aufzug']",285.000 €
"Niederschönhausen (Pankow), Berlin","70,1 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",289.000 €
"Friedrichshain (Friedrichshain), Berlin","60,04 m²",2 Zi.2,"['Keller', 'Aufzug']",245.000 €
"Charlottenburger Straße 135, Weißensee (Weißensee), Berlin","30,00 - 174,00 m²",2020,,205.500 - 1.120.000 €
"Lichtenberg (Lichtenberg), Berlin",196 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller']",749.000 €
"Karlshorst (Lichtenberg), Berlin","151,68 m²",3 Zi.3,"['Balkon/Terrasse', 'Garten', 'Keller']",760.000 €
"Schöneberg (Schöneberg), Berlin",120 m²,4 Zi.4,"['Garten', 'Keller']",415.000 €
"Wilmersdorf (Wilmersdorf), Berlin",78 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+3']",695.000 €
"Grunewald (Wilmersdorf), Berlin",85 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",450.000 €
"Pasteurstraße 18, Prenzlauer Berg (Prenzlauer Berg), Berlin","50,42 m²",1 Zi.1,,232.000 €
"Wilmersdorf (Wilmersdorf), Berlin",107 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Aufzug']",680.000 €
"Pfalzburgerstr 8, Wilmersdorf (Wilmersdorf), Berlin",65 m²,2 Zi.2,"['Provisionsfrei*', 'Einbauküche', 'Keller', '+1']",315.000 €
"Dahlem (Zehlendorf), Berlin","135,15 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",662.235 €
"Dahlem (Zehlendorf), Berlin","63,85 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",312.865 €
"Dahlem (Zehlendorf), Berlin","105,94 m²","3,5 Zi.3,5","['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']","739.461,20 €"
"Marienfelde (Tempelhof), Berlin",50 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",189.500 €
"Eichhorster Straße 14, Marzahn (Marzahn), Berlin","31,00 - 115,00 m²",2021,,123.760 - 638.000 €
"Spandauer Damm 54, Charlottenburg (Charlottenburg), Berlin","141,00 - 176,00 m²",Q1 2020,,1.193.000 - 1.610.000 €
"Piesporter Str. 60, Weißensee (Weißensee), Berlin","62,00 - 150,00 m²",Dezember 2019,,255.000 - 762.000 €
"Weißensee (Weißensee), Berlin","28,00 - 330,00 m²",Mitte 2021,,125.000 - 2.500.000 €
"Pasteurstraße 18, Prenzlauer Berg (Prenzlauer Berg), Berlin","67,6 m²",2 Zi.2,['Balkon/Terrasse'],300.820 €
"Tiergarten (Tiergarten), Berlin","106,47 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",359.000 €
"Bouchéstraße 24, Treptow (Treptow), Berlin",207 m²,6 Zi.6,['Balkon/Terrasse'],496.800 €
"Frohnau (Reinickendorf), Berlin",190 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Gäste-WC']",790.000 €
"Charlottenburg (Charlottenburg), Berlin",200 m²,5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",2.320.000 €
"Spandau (Spandau), Berlin",75 m²,3 Zi.3,,279.000 €
"Elßholzstraße 22, Schöneberg (Schöneberg), Berlin",68 m²,2 Zi.2,,199.000 €
"Aachener Str. 35, Wilmersdorf (Wilmersdorf), Berlin","28,87 m²",1 Zi.1,"['Provisionsfrei*', 'Balkon/Terrasse', 'Einbauküche', '+2']",125.000 €
"Neukölln (Neukölln), Berlin",802 m²,26 Zi.26,"['Balkon/Terrasse', 'Garten', 'Keller', '+1']",1.950.000 €
"Wilmersdorf (Wilmersdorf), Berlin",99 m²,"3,5 Zi.3,5","['Balkon/Terrasse', 'Einbauküche', 'Garten', '+4']",695.000 €
"Friedenau (Schöneberg), Berlin","62,9 m²",2 Zi.2,"['Garten', 'Keller']",267.000 €
"Friedrichshain (Friedrichshain), Berlin",55 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller']",189.000 €
"Wundtstr. 24"", Charlottenburg (Charlottenburg), Berlin","47,75 m²",1 Zi.1,"['Provisionsfrei*', 'Keller']",237.175 €
"Wundtstr. 24!, Charlottenburg (Charlottenburg), Berlin","47,75 m²",1 Zi.1,['Keller'],229.000 €
"Schnackenburgstr. 7,, Friedenau (Schöneberg), Berlin","59,07 m²",2 Zi.2,,339.000 €
"Schnackenburgstr. 7!, Friedenau (Schöneberg), Berlin","59,07 m²",2 Zi.2,['Provisionsfrei*'],351.102 €
"Lankwitz (Steglitz), Berlin","50,71 m²","1,5 Zi.1,5",,125.000 €
"Martha-Arendsee-Straße 16, Marzahn (Marzahn), Berlin","84,36 m²",3 Zi.3,"['Provisionsfrei*', 'Einbauküche', 'Keller', '+1']",265.000 €
"Grunewald (Wilmersdorf), Berlin",94 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",998.000 €
"Müllerstr. 29., Lichterfelde (Steglitz), Berlin",74 m²,2 Zi.2,"['Balkon/Terrasse', 'Garten', 'Keller']",259.000 €
"Knorrpromenade 8!, Friedrichshain (Friedrichshain), Berlin","48,61 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",219.000 €
"Knorrpromenade 8!, Friedrichshain (Friedrichshain), Berlin","48,61 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', 'Keller']",226.818 €
"Kreuzberg (Kreuzberg), Berlin",32 m²,1 Zi.1,['Keller'],192.000 €
"Charlottenburg (Charlottenburg), Berlin",66 m²,2 Zi.2,"['Einbauküche', 'Garten', 'Keller', '+1']",380.000 €
"Kavalierstr. 19e, Pankow (Pankow), Berlin","101,75 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller']",499.000 €
"Friedenau (Schöneberg), Berlin","44,02 m²",1 Zi.1,['Keller'],185.000 €
"Wundtstraße 24., Charlottenburg (Charlottenburg), Berlin","167,2 m²",5 Zi.5,"['Balkon/Terrasse', 'Gäste-WC']",779.000 €
"Alt-Moabit 73i, Tiergarten (Tiergarten), Berlin",63 m²,2 Zi.2,,289.000 €
"Alt-Moabit 73-, Tiergarten (Tiergarten), Berlin",63 m²,2 Zi.2,['Provisionsfrei*'],299.318 €
"Alt-Hohenschönhausen (Hohenschönhausen), Berlin","57,3 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",165.000 €
"Charlottenburg (Charlottenburg), Berlin",53 m²,2 Zi.2,['Keller'],298.000 €
"Neukölln (Neukölln), Berlin",79 m²,3 Zi.3,"['Einbauküche', 'Aufzug']",349.000 €
"Schöneberg (Schöneberg), Berlin",43 m²,1 Zi.1,"['Balkon/Terrasse', 'Keller', 'Aufzug']",239.000 €
"Kreuzberg (Kreuzberg), Berlin",130 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller']",799.000 €
"Spandau (Spandau), Berlin",91 m²,3 Zi.3,"['Einbauküche', 'Keller']",300.000 €
"Tiergarten (Tiergarten), Berlin",103 m²,3 Zi.3,,479.000 €
"Tempelhof (Tempelhof), Berlin",59 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",315.000 €
"Lankwitz (Steglitz), Berlin",57 m²,2 Zi.2,,289.000 €
"Tempelhof (Tempelhof), Berlin",55 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",229.000 €
"Sprengelstraße 39, Wedding (Wedding), Berlin","36,5 m²",1 Zi.1,['Keller'],140.000 €
"Reinickendorf (Reinickendorf), Berlin",86 m²,4 Zi.4,,390.000 €
"Lichterfelde (Steglitz), Berlin",127 m²,4 Zi.4,"['Einbauküche', 'Aufzug']",699.000 €
"Wedding (Wedding), Berlin",160 m²,6 Zi.6,,680.000 €
"Spandau (Spandau), Berlin",35 m²,1 Zi.1,"['Balkon/Terrasse', 'Einbauküche']",135.000 €
"Lichtenrade (Tempelhof), Berlin",31 m²,1 Zi.1,"['Balkon/Terrasse', 'Einbauküche']",115.000 €
"Bennigsenstraße 4, Friedenau (Schöneberg), Berlin","160,66 m²",5 Zi.5,"['Balkon/Terrasse', 'Garten']",999.999 €
"Drachenfelsstraße 5, Karlshorst (Lichtenberg), Berlin","46,73 m²","1,5 Zi.1,5",['Einbauküche'],180.000 €
"Charlottenburg (Charlottenburg), Berlin",243 m²,7 Zi.7,"['Einbauküche', 'Aufzug']",729.900 €
"Spandau (Spandau), Berlin",44 m²,1 Zi.1,"['Einbauküche', 'Keller', 'Aufzug']",164.900 €
"Tiergarten (Tiergarten), Berlin",56 m²,2 Zi.2,['Keller'],230.000 €
"Wilmersdorf (Wilmersdorf), Berlin","54,53 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",199.000 €
"Weißensee (Weißensee), Berlin",74 m²,3 Zi.3,['Balkon/Terrasse'],299.000 €
"Tiergarten (Tiergarten), Berlin",78 m²,"2,5 Zi.2,5",['Keller'],320.000 €
"Spandau (Spandau), Berlin",145 m²,5 Zi.5,"['Balkon/Terrasse', 'Einbauküche']",580.000 €
"Mitte (Mitte), Berlin",78 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+3']",699.000 €
"Friedrichshain (Friedrichshain), Berlin",77 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Aufzug']",447.000 €
"Reinickendorf (Reinickendorf), Berlin",63 m²,3 Zi.3,['Balkon/Terrasse'],230.000 €
"Frohnau (Reinickendorf), Berlin",80 m²,3 Zi.3,['Keller'],465.000 €
"Köpenick (Köpenick), Berlin",60 m²,2 Zi.2,['Balkon/Terrasse'],199.000 €
"Friedrichshain (Friedrichshain), Berlin",50 m²,2 Zi.2,['Einbauküche'],190.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",35 m²,1 Zi.1,,209.000 €
"Friedrichshain (Friedrichshain), Berlin","50,28 m²",2 Zi.2,['Balkon/Terrasse'],200.000 €
"Schöneberg (Schöneberg), Berlin","70,96 m²",2 Zi.2,"['Einbauküche', 'Keller', 'Aufzug']",244.000 €
"Charlottenburg (Charlottenburg), Berlin",124 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",699.000 €
"Wilmersdorf (Wilmersdorf), Berlin",120 m²,3 Zi.3,"['Einbauküche', 'Keller']",600.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",127 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",854.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",100 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",680.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",127 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",825.500 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",100 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",650.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",127 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",787.400 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",100 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",645.000 €
"Steglitz (Steglitz), Berlin",54 m²,2 Zi.2,['Balkon/Terrasse'],210.000 €
"Mitte (Mitte), Berlin","78,62 m²",2 Zi.2,['Gäste-WC'],740.000 €
"Mitte (Mitte), Berlin","152,66 m²",3 Zi.3,"['Balkon/Terrasse', 'Gäste-WC']",1.070.000 €
"Charlottenburg (Charlottenburg), Berlin",50 m²,2 Zi.2,,289.000 €
"Tempelhof (Tempelhof), Berlin",78 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",299.900 €
"Charlottenburg (Charlottenburg), Berlin",39 m²,2 Zi.2,"['Einbauküche', 'Keller', 'Aufzug']",270.000 €
"Reinickendorf (Reinickendorf), Berlin",63 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",225.000 €
"Reinickendorf (Reinickendorf), Berlin",55 m²,1 Zi.1,['Einbauküche'],170.000 €
"Neukölln (Neukölln), Berlin",41 m²,1 Zi.1,,165.000 €
"Baumschulenweg (Treptow), Berlin",45 m²,1 Zi.1,"['Einbauküche', 'Keller']",150.000 €
"Schöneberg (Schöneberg), Berlin",34 m²,1 Zi.1,,145.000 €
"Zehlendorf (Zehlendorf), Berlin",84 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",398.000 €
"Mollwitzstraße 11, Charlottenburg (Charlottenburg), Berlin","107,47 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",698.555 €
"Johannisthal (Treptow), Berlin",58 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller']",159.000 €
"Reinickendorf (Reinickendorf), Berlin","59,61 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",125.000 €
"Zehlendorf (Zehlendorf), Berlin",113 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+4']",824.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",127 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",749.300 €
"Zehlendorf (Zehlendorf), Berlin",77 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",330.000 €
"Danneckerstraße 14, Friedrichshain (Friedrichshain), Berlin",195 m²,6 Zi.6,"['Provisionsfrei*', 'Keller']",809.000 €
"Corinthstr. 43, Friedrichshain (Friedrichshain), Berlin",388 m²,10 Zi.10,"['Provisionsfrei*', 'Keller']",1.381.000 €
"Buckow (Neukölln), Berlin","56,2 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",196.700 €
"Dahlem (Zehlendorf), Berlin",138 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",1.250.000 €
"Ibsenstrasse 62, Prenzlauer Berg (Prenzlauer Berg), Berlin","52,01 m²",1 Zi.1,"['Einbauküche', 'Keller']",265.000 €
"Kreuzberg (Kreuzberg), Berlin",134 m²,"3,5 Zi.3,5","['Balkon/Terrasse', 'Einbauküche', 'Keller']",710.000 €
"Pankow (Pankow), Berlin","56,56 m²",3 Zi.3,['Balkon/Terrasse'],169.000 €
"Pankow (Pankow), Berlin","56,62 m²",3 Zi.3,['Balkon/Terrasse'],169.000 €
"Mitte (Mitte), Berlin",122 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Gäste-WC', '+1']",990.000 €
"Amrumer Str. 2, Wedding (Wedding), Berlin",85 m²,4 Zi.4,"['Provisionsfrei*', 'Keller']",439.000 €
"Zehlendorf (Zehlendorf), Berlin",112 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+1']",520.000 €
"Charlottenburg (Charlottenburg), Berlin",198 m²,5 Zi.5,"['Einbauküche', 'Keller', 'Gäste-WC']",1.200.000 €
"Mitte (Mitte), Berlin",50 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",295.000 €
"Mitte (Mitte), Berlin",48 m²,2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug', '+1']",299.000 €
"Wilmersdorf (Wilmersdorf), Berlin",95 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+4']",900.000 €
"Wilmersdorf (Wilmersdorf), Berlin",90 m²,3 Zi.3,,790.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",60 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",350.000 €
"Kienbergstraße 1, Marzahn (Marzahn), Berlin",94 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Gäste-WC', '+2']",297.500 €
"Eberhard-Roters-Platz 13, Kreuzberg (Kreuzberg), Berlin","74,5 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",463.000 €
"Lichtenrade (Tempelhof), Berlin",75 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",299.000 €
"Hermsdorf (Reinickendorf), Berlin","253,31 m²",7 Zi.7,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",790.000 €
"Charlottenburg (Charlottenburg), Berlin",52 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",200.000 €
"Habsburger Str. 8*, Schöneberg (Schöneberg), Berlin","170,45 m²",5 Zi.5,"['Balkon/Terrasse', 'Keller', 'Aufzug']",679.000 €
"Niederschönhausen (Pankow), Berlin",178 m²,5 Zi.5,,799.000 €
"Neu-Hohenschönhausen (Hohenschönhausen), Berlin","59,65 m²",3 Zi.3,,137.000 €
"Wedding (Wedding), Berlin",100 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+3']",700.000 €
"Mariendorf (Tempelhof), Berlin","77,16 m²",3 Zi.3,"['Einbauküche', 'Garten', 'Keller']",265.000 €
"Wedding (Wedding), Berlin",62 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",450.000 €
"Charlottenburg (Charlottenburg), Berlin","53,62 m²",2 Zi.2,['Einbauküche'],379.000 €
"Britz (Neukölln), Berlin",64 m²,"2,5 Zi.2,5","['Balkon/Terrasse', 'Garten', 'Keller']",299.000 €
"Nikolassee (Zehlendorf), Berlin",80 m²,3 Zi.3,['Einbauküche'],320.000 €
"Alt-Moabit 73a, Tiergarten (Tiergarten), Berlin","91,96 m²",3 Zi.3,['Balkon/Terrasse'],449.000 €
"Schöneberg (Schöneberg), Berlin","84,39 m²",3 Zi.3,"['Einbauküche', 'Keller']",279.000 €
"Colbestr. 20, Friedrichshain (Friedrichshain), Berlin",138 m²,4 Zi.4,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",898.000 €
"Brandenburgische Str. 33, Wilmersdorf (Wilmersdorf), Berlin",121 m²,5 Zi.5,"['Balkon/Terrasse', 'Keller', 'Aufzug']",910.000 €
"Spandau (Spandau), Berlin",93 m²,"3,5 Zi.3,5","['Einbauküche', 'Gäste-WC']",320.000 €
"Charlottenburg (Charlottenburg), Berlin",260 m²,"5,5 Zi.5,5","['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",1.460.000 €
"Steglitz (Steglitz), Berlin",84 m²,3 Zi.3,"['Balkon/Terrasse', 'Keller']",389.000 €
"Steglitz (Steglitz), Berlin",80 m²,3 Zi.3,['Keller'],379.000 €
"Steglitz (Steglitz), Berlin",79 m²,3 Zi.3,['Keller'],369.000 €
"Steglitz (Steglitz), Berlin","73,87 m²",3 Zi.3,['Keller'],349.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",36 m²,1 Zi.1,['Keller'],169.000 €
"Heiligensee (Reinickendorf), Berlin","35,16 m²",1 Zi.1,['Einbauküche'],98.900 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",32 m²,1 Zi.1,,169.000 €
"Grunewald (Wilmersdorf), Berlin",210 m²,"3,5 Zi.3,5","['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",1.250.000 €
"Schöneberg (Schöneberg), Berlin",117 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",760.000 €
"Friedrichshain (Friedrichshain), Berlin","52,08 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller', 'Aufzug', '+1']",430.000 €
"Wilmersdorf (Wilmersdorf), Berlin",83 m²,3 Zi.3,,540.000 €
"Wilmersdorf (Wilmersdorf), Berlin",62 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",550.000 €
"Rheingausstraße 19, Friedenau (Schöneberg), Berlin","84,7 m²",3 Zi.3,['Balkon/Terrasse'],459.000 €
"Hohenstaufenstr. 4., Schöneberg (Schöneberg), Berlin","167,42 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller']",669.000 €
"Treptow (Treptow), Berlin",60 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",330.000 €
"Raumerstraße 18, Prenzlauer Berg (Prenzlauer Berg), Berlin",80 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",457.900 €
"Stephanstr. 31, Steglitz (Steglitz), Berlin","84,61 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",384.975 €
"Stephanstr. 31, Steglitz (Steglitz), Berlin","80,25 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",365.137 €
"Stephanstr. 31, Steglitz (Steglitz), Berlin","79,3 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",348.920 €
"Stephanstr. 31, Steglitz (Steglitz), Berlin","98,54 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller']",433.576 €
"Mitte (Mitte), Berlin","101,66 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",672.000 €
"Mitte (Mitte), Berlin","75,54 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",575.000 €
"Mitte (Mitte), Berlin","98,45 m²",5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+1']",660.000 €
"Stephanstr. 31, Steglitz (Steglitz), Berlin","95,21 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller']",461.768 €
"Rahnsdorf (Köpenick), Berlin","78,6 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', 'Keller']",287.000 €
"Grunewald (Wilmersdorf), Berlin",110 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+3']",548.000 €
"Schöneberg (Schöneberg), Berlin","128,03 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', 'Keller']",469.000 €
"Hohenstaufenstr. 4, Schöneberg (Schöneberg), Berlin","167,42 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller']",669.000 €
"Ossietzkystr. 9, Pankow (Pankow), Berlin",178 m²,5 Zi.5,"['Provisionsfrei*', 'Keller', 'Aufzug']",824.000 €
"Ossietzkystraße 9, Pankow (Pankow), Berlin",186 m²,6 Zi.6,"['Provisionsfrei*', 'Balkon/Terrasse']",964.000 €
"Steglitz (Steglitz), Berlin","67,85 m²",2 Zi.2,"['Balkon/Terrasse', 'Einbauküche']",352.040 €
"Windhalmweg 23, Wittenau (Reinickendorf), Berlin","50,5 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",119.000 €
"Reinickendorf (Reinickendorf), Berlin","84,7 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",349.000 €
"Corinthstraße 43, Friedrichshain (Friedrichshain), Berlin",155 m²,5 Zi.5,"['Provisionsfrei*', 'Gäste-WC', 'Stufenlos']",574.000 €
"Charlottenburg (Charlottenburg), Berlin",50 m²,2 Zi.2,['Balkon/Terrasse'],213.000 €
"Tübinger Straße 4a, Wilmersdorf (Wilmersdorf), Berlin","37,5 m²",1 Zi.1,"['Balkon/Terrasse', 'Einbauküche', 'Aufzug']",120.000 €
"Katzbachstraße 9, Kreuzberg (Kreuzberg), Berlin","100,18 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",395.711 €
"Alt Moabit 73, Tiergarten (Tiergarten), Berlin",122 m²,4 Zi.4,['Balkon/Terrasse'],519.000 €
"Alt Moabit 73, Tiergarten (Tiergarten), Berlin","87,3 m²",3 Zi.3,['Balkon/Terrasse'],339.000 €
"Alt Moabit 73A, Tiergarten (Tiergarten), Berlin",91 m²,3 Zi.3,['Balkon/Terrasse'],399.000 €
"Charlottenburg (Charlottenburg), Berlin","61,74 m²",2 Zi.2,"['Provisionsfrei*', 'Keller']",217.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",85 m²,"2,5 Zi.2,5","['Einbauküche', 'Keller']",425.000 €
"Schöneberg (Schöneberg), Berlin",67 m²,2 Zi.2,"['Einbauküche', 'Keller']",299.000 €
"Karolinenstr. 1d, Tegel (Reinickendorf), Berlin",57 m²,3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', 'Garten', '+1']",209.000 €
"Kavalierstr 19b, Pankow (Pankow), Berlin",98 m²,3 Zi.3,['Balkon/Terrasse'],489.000 €
"Friedenau (Schöneberg), Berlin","57,94 m²",2 Zi.2,,299.000 €
"Friedenau (Schöneberg), Berlin",60 m²,2 Zi.2,['Balkon/Terrasse'],279.000 €
"Friedenau (Schöneberg), Berlin",84 m²,3 Zi.3,['Balkon/Terrasse'],379.000 €
"Mitte (Mitte), Berlin","114,4 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+3']",679.000 €
"Mitte (Mitte), Berlin",104 m²,4 Zi.4,"['Balkon/Terrasse', 'Garten', 'Keller', '+1']",389.000 €
"Thomasiusstraße 4, Tiergarten (Tiergarten), Berlin",117 m²,3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', 'Garten', '+2']",749.000 €
"Thomasiusstraße 4, Tiergarten (Tiergarten), Berlin",117 m²,3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', 'Garten', '+2']",749.000 €
"Friedenau (Schöneberg), Berlin",61 m²,2 Zi.2,['Balkon/Terrasse'],269.000 €
"Friedenau (Schöneberg), Berlin",84 m²,3 Zi.3,['Balkon/Terrasse'],359.000 €
"Friedenau (Schöneberg), Berlin",52 m²,2 Zi.2,['Balkon/Terrasse'],239.000 €
"Friedenau (Schöneberg), Berlin",92 m²,3 Zi.3,['Balkon/Terrasse'],429.000 €
"Hohenstaufenstr. 4-, Schöneberg (Schöneberg), Berlin","167,42 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller']",669.000 €
"Lichtenberg (Lichtenberg), Berlin","31,5 m²",1 Zi.1,['Einbauküche'],135.000 €
"Charlottenburg (Charlottenburg), Berlin",54 m²,2 Zi.2,,350.000 €
"Neukölln (Neukölln), Berlin","70,23 m²",3 Zi.3,"['Einbauküche', 'Garten', 'Keller']",240.000 €
"Friedrichsfelde (Lichtenberg), Berlin","65,53 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller']",259.000 €
"Stephanstr. 50, Tiergarten (Tiergarten), Berlin",252 m²,8 Zi.8,"['Provisionsfrei*', 'Balkon/Terrasse', 'Garten', '+1']",866.000 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin",114 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', 'Keller', '+2']",740.000 €
"Tiergarten (Tiergarten), Berlin",44 m²,1 Zi.1,['Balkon/Terrasse'],129.000 €
"Dahlem (Zehlendorf), Berlin","125,02 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller', 'Gäste-WC', '+1']",1.547.812 €
"Alt Moabit 73/73a, Tiergarten (Tiergarten), Berlin",52 m²,2 Zi.2,,249.000 €
"Friedenau (Schöneberg), Berlin",50 m²,2 Zi.2,['Balkon/Terrasse'],239.000 €
"Friedenau (Schöneberg), Berlin",93 m²,3 Zi.3,['Balkon/Terrasse'],439.000 €
"Friedenau (Schöneberg), Berlin",81 m²,3 Zi.3,['Balkon/Terrasse'],379.000 €
