index,id,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,accommodates,bed_type,price,cleaning_fee,guests_included,extra_people,review_scores_rating,instant_bookable,cancellation_policy,moderate,strict,private,size,stairless,luggage_dropoff,balcony,elevator,distance,loc
96,163411,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.49738000000001,13.436370000000002,4,1,110,40,2,15,94.0,0,moderate,1,0,1,85,0,1,1,0,2.260849615646947,Kreuzberg (nh)
105,171746,0,1,Prenzlauer Berg,Pankow,52.544109999999996,13.4141,2,1,70,50,2,30,94.0,1,moderate,1,0,1,49,0,1,0,0,4.644537530190701,Prenzlauer Berg (nh)
107,173153,0,1,Prenzlauer Berg,Pankow,52.53055,13.407020000000001,5,1,80,50,1,20,96.0,0,moderate,1,0,1,95,0,1,0,1,3.0939035250062754,Prenzlauer Berg (nh)
109,174547,0,0,Mitte,Mitte,52.511,13.41595,3,1,96,100,2,30,94.0,0,strict,0,1,1,40,0,1,0,1,1.2128857211761255,Mitte (nh)
110,174560,0,0,Mitte,Mitte,52.51073,13.417910000000001,3,1,75,30,2,15,94.0,0,moderate,1,0,1,56,0,0,0,1,1.2830577457328665,Mitte (nh)
111,174576,0,0,Mitte,Mitte,52.5094,13.416229999999999,5,1,96,100,2,30,93.0,0,strict,0,1,1,56,0,0,0,1,1.0991423421760174,Mitte (nh)
116,176396,0,1,Reinickendorf,Reinickendorf,52.572030000000005,13.35079,2,1,20,20,1,10,94.0,1,flexible,0,0,0,20,0,1,0,0,8.504595674145081,other
118,177486,0,0,Wilmersdorf,Charlottenburg-Wilm.,52.47894,13.327160000000001,3,1,59,30,2,19,93.0,0,strict,0,1,1,48,0,0,0,0,5.849179280709564,Wilmersdorf (nh)
119,178347,0,0,Neukölln,Neukölln,52.48865,13.42896,3,1,75,40,1,25,97.0,0,strict,0,1,1,53,0,0,0,0,2.298931066994012,Neukölln (nh)
121,180440,1,1,Charlottenburg,Charlottenburg-Wilm.,52.50065,13.301620000000002,1,1,43,50,1,0,96.0,0,strict,0,1,1,30,0,0,0,1,6.945508642722153,Charlottenburg (nh)
124,183206,0,0,Mitte,Mitte,52.52735,13.38986,2,1,64,25,1,10,93.0,1,strict,0,1,1,35,0,0,1,0,2.89859150533836,Mitte (nh)
127,185960,0,1,Neukölln,Neukölln,52.483509999999995,13.43555,1,1,29,20,1,0,94.0,0,moderate,1,0,0,150,0,0,0,0,3.017402602631408,Neukölln (nh)
133,188922,0,1,Prenzlauer Berg,Pankow,52.53049,13.414710000000001,3,1,45,40,1,5,86.0,0,strict,0,1,1,67,0,0,0,0,3.1626791198536077,Prenzlauer Berg (nh)
